2023-05-30 19:50:18.718 -03:00 [INF] Application Starting Up
2023-05-30 21:46:46.568 -03:00 [INF] Application Starting Up
2023-05-30 22:05:13.982 -03:00 [INF] Application Starting Up
2023-05-30 22:06:39.239 -03:00 [INF] Application Starting Up
2023-05-30 22:07:59.462 -03:00 [INF] Application Starting Up
2023-05-30 22:13:52.254 -03:00 [INF] Application Starting Up
2023-05-30 22:14:24.586 -03:00 [INF] Application Starting Up
2023-05-30 22:16:51.902 -03:00 [FTL] This is an fatal message!
2023-05-30 22:16:52.049 -03:00 [INF] Application Starting Up
2023-05-30 22:17:14.534 -03:00 [FTL] This is a Fatal error, Masanori Iha
2023-05-30 22:17:14.615 -03:00 [INF] Application Starting Up
2023-05-30 22:22:05.846 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:22:10.927 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:22:15.946 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:22:20.956 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:22:25.959 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:22:36.513 -03:00 [INF] This is a great development, Daniel
2023-05-30 22:22:41.590 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:22:46.605 -03:00 [INF] This is a great development, Daniel
2023-05-30 22:22:51.609 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:22:56.618 -03:00 [INF] This is a great development, Daniel
2023-05-30 22:23:01.626 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:23:06.636 -03:00 [INF] This is a great development, Daniel
2023-05-30 22:23:11.653 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:23:16.665 -03:00 [INF] This is a great development, Daniel
2023-05-30 22:23:21.671 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:23:26.681 -03:00 [INF] This is a great development, Daniel
2023-05-30 22:36:55.150 -03:00 [INF] This is a great development, Daniel
2023-05-30 22:37:00.224 -03:00 [FTL] This is a Fatal error, Masanori
2023-05-30 22:37:05.241 -03:00 [INF] This is a great development, Daniel
2023-05-30 22:37:10.257 -03:00 [FTL] This is a Fatal error, Masanori
